ranking_year,ranking_category,institute_id,institute_name,state,city,academic_year,category,value,unit
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2022-23,Amount received (INR),974238779.0,value in Rupees
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2021-22,Amount received (INR),734281053.0,value in Rupees
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2020-21,Amount received (INR),730156841.0,value in Rupees
2024,Overall,IR-O-N-15,All India Institute of Medical Sciences,Delhi,New Delhi,2022-23,Number of sponsored projects,904.0,value in Absolute Number
2024,Overall,IR-O-N-15,All India Institute of Medical Sciences,Delhi,New Delhi,2021-22,Number of sponsored projects,609.0,value in Absolute Number
2024,Overall,IR-O-N-15,All India Institute of Medical Sciences,Delhi,New Delhi,2020-21,Number of sponsored projects,618.0,value in Absolute Number
2024,Overall,IR-O-N-15,All India Institute of Medical Sciences,Delhi,New Delhi,2022-23,Amount received (INR),1970827533.0,value in Rupees
2024,Overall,IR-O-N-15,All India Institute of Medical Sciences,Delhi,New Delhi,2021-22,Amount received (INR),1018179784.0,value in Rupees
2024,Overall,IR-O-N-15,All India Institute of Medical Sciences,Delhi,New Delhi,2020-21,Amount received (INR),1033763736.0,value in Rupees
2024,Overall,IR-O-N-15,All India Institute of Medical Sciences,Delhi,New Delhi,2022-23,Amount received (INR),426991567.0,value in Rupees
2024,Overall,IR-O-N-15,All India Institute of Medical Sciences,Delhi,New Delhi,2021-22,Amount received (INR),460815701.0,value in Rupees
2024,Overall,IR-O-N-15,All India Institute of Medical Sciences,Delhi,New Delhi,2020-21,Amount received (INR),282061881.0,value in Rupees
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2022-23,Number of sponsored projects,146.0,value in Absolute Number
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2021-22,Number of sponsored projects,127.0,value in Absolute Number
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2020-21,Number of sponsored projects,105.0,value in Absolute Number
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2022-23,Amount received (INR),139337324.0,value in Rupees
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2021-22,Amount received (INR),225184388.0,value in Rupees
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2020-21,Amount received (INR),71779033.0,value in Rupees
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2022-23,Amount received (INR),28564438.0,value in Rupees
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2021-22,Amount received (INR),22015325.0,value in Rupees
2024,Overall,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2020-21,Amount received (INR),16511146.0,value in Rupees
2024,Overall,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2022-23,Number of sponsored projects,648.0,value in Absolute Number
2024,Overall,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2021-22,Number of sponsored projects,482.0,value in Absolute Number
2024,Overall,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2020-21,Number of sponsored projects,459.0,value in Absolute Number
2024,Overall,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2022-23,Amount received (INR),2069435606.0,value in Rupees
2024,Overall,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2021-22,Amount received (INR),3589149887.0,value in Rupees
2024,Overall,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2020-21,Amount received (INR),1573734919.0,value in Rupees
2024,Overall,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2022-23,Amount received (INR),16753342.0,value in Rupees
2024,Overall,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2021-22,Amount received (INR),12360000.0,value in Rupees
2024,Overall,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2020-21,Amount received (INR),3548956.0,value in Rupees
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2022-23,Number of sponsored projects,193.0,value in Absolute Number
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2021-22,Number of sponsored projects,165.0,value in Absolute Number
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2020-21,Number of sponsored projects,112.0,value in Absolute Number
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2022-23,Amount received (INR),21494223.0,value in Rupees
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2021-22,Amount received (INR),12522764.0,value in Rupees
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2020-21,Amount received (INR),16233925.0,value in Rupees
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2022-23,Amount received (INR),0.0,value in Rupees
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2021-22,Amount received (INR),297670950.0,value in Rupees
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2020-21,Amount received (INR),45347340.0,value in Rupees
2024,Overall,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2022-23,Number of sponsored projects,391.0,value in Absolute Number
2024,Overall,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2021-22,Number of sponsored projects,147.0,value in Absolute Number
2024,Overall,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2020-21,Number of sponsored projects,87.0,value in Absolute Number
2024,Overall,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2022-23,Amount received (INR),282447565.0,value in Rupees
2024,Overall,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2021-22,Amount received (INR),90703348.0,value in Rupees
2024,Overall,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2020-21,Amount received (INR),73315484.0,value in Rupees
2024,Overall,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2022-23,Amount received (INR),46465192.0,value in Rupees
2024,Overall,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2021-22,Amount received (INR),12901025.0,value in Rupees
2024,Overall,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2020-21,Amount received (INR),63283536.0,value in Rupees
