institution_id,tier,inst_type,city,state,openalex_id,ror_id,total_works,match_confidence,is_hub,nirf_institute_id,nirf_rank,nirf_score,nirf_year,canonical_name,latitude,longitude,geo_source
6627a151-3a0d-44f3-adf4-d5255e5a4cc9,premier,Central_Univ,Kolkata,,I170979836,02af4h012,45015,openalex_auto,False,IR-O-U-0575,17,63.84,2024,Jadavpur University,22.4995309,88.3715953,campus_jadavpur_university
0e011302-5676-4cf1-95b3-f0adc82f6893,premier,Central_Univ,Varanasi,,I51317819,04y75dx46,44427,openalex_auto,False,,,,,Institute of Medical Sciences,25.2622446,82.909614,campus_institute_of_medical_sciences
736be13b-21db-4757-bfac-35c77c891892,premier,Central_Univ,Chennai,Tamil Nadu,I33585257,01qhf1r47,40668,openalex_auto,False,IR-O-U-0439,20,62.77,2024,"Anna University, Chennai",13.0116,80.2362,campus_anna_univ
18ae8c5a-a263-4906-9d6a-25bf48ed31e6,premier,Central_Univ,Aligarh,Uttar Pradesh,I171210897,03kw9gc02,38397,openalex_auto,False,IR-O-U-0496,16,64.17,2024,Aligarh Muslim University,27.9159,78.0812,campus_amu
bd7fc63e-4dd7-488f-8022-1332b3642dcf,premier,Central_Univ,Kolkata,West Bengal,I106542073,01e7v7w47,37832,openalex_auto,False,IR-M-S-8972,5,75.07,2024,University of Calcutta,22.5763,88.3639,campus_calcutta_univ
ae9d1da9-8ea6-45ab-ab98-70e36ba8a21b,premier,Central_Univ,Ghaziabad,Uttar Pradesh,I99364266,053rcsq61,35900,openalex_auto,False,IR-R-U-0713,11,64.2,2024,Academy of Scientific and Innovative Research,28.6545,77.4545,campus_acsir_ghaziabad
5aa5a4ff-8b68-4a33-87ae-4dce4f3d4a91,premier,Central_Univ,Coimbatore,Tamil Nadu,I81556334,03am10p12,32462,openalex_auto,False,IR-O-U-0436,18,63.81,2024,Amrita Vishwa Vidyapeetham,10.9024,76.9024,campus_amrita_coimbatore
1067ba73-ff68-46c5-b68e-4bf7cda57988,premier,Central_Univ,Phagwāra,,I110360157,00et6q107,32376,openalex_auto,False,IR-O-U-0379,45,54.58,2024,Lovely Professional University,31.2534122,75.7034029,campus_lovely_professional_university
2050b90e-0227-468a-8571-63864a963f7c,premier,Central_Univ,Chandigarh,,I51452335,04p2sbk06,32026,openalex_auto,False,IR-O-U-0078,60,52.99,2024,Panjab University,30.7639,76.7885,campus_panjab_univ
5bc14c1f-47f1-4ec9-89ba-e678e7ee486c,premier,Central_Univ,Pune,Maharashtra,I878213199,044g6d731,32012,openalex_auto,False,IR-O-U-0323,37,55.69,2024,Savitribai Phule Pune University,18.5535,73.8257,campus_sp_pune
