institution_id,canonical_name,academic_year,research_funding_cr,sponsored_projects,total_expenditure_cr,funding_academic_year,match_score
f6a0e07c-58dc-463e-8e04-d8d08a9a7342,Indian Institute of Technology Jammu,2018-19,8.147,74,,2022-23,1.05
1a5bd65a-cf0d-45e2-8735-5434d64998b8,Indian Institute of Technology Dharwad,2018-19,12.24,25,,2022-23,1.05
6fb57ff7-f044-4eb9-b7d6-bebdef022df4,Indian Institute of Science,2018-19,381.124,1001,,2018-19,1.05
2dbad614-cedc-4bdc-a02e-8a66054a8bd9,All India Institute of Medical Sciences,2018-19,107.883,635,,2018-19,0.95
4d6717be-0714-4972-b1d4-571c58d9a46f,University of Delhi,2018-19,61.578,339,,2018-19,1.0
fd56c1b8-3390-4d13-9121-2b061d0b11ac,Vellore Institute of Technology University,2018-19,15.852,171,,2018-19,0.95
672214f6-22a9-4d55-8c6c-5b28a5159516,Banaras Hindu University,2018-19,46.428,373,,2018-19,1.0
47b972a6-fdf5-499c-a99f-fd0fedb15993,Saveetha University,2018-19,2.644,5040,,2018-19,1.0
131f1481-eede-4a15-a738-57b4c90b26ad,Post Graduate Institute of Medical Education and Research,2018-19,0.028,5,,2018-19,0.95
c7f37aac-de96-454a-bf3d-af0ff418e79e,Manipal Academy of Higher Education,2018-19,34.745,423,,2018-19,0.95
93e1f5b3-3c8f-4e18-a29b-afa586e5d865,SRM Institute of Science and Technology,2018-19,,,,,
4a1e94cf-f0b6-4560-ab2c-bd58ab8792ac,University of Rajasthan,2018-19,,,,,
6627a151-3a0d-44f3-adf4-d5255e5a4cc9,Jadavpur University,2018-19,67.487,318,,2018-19,1.0
0e011302-5676-4cf1-95b3-f0adc82f6893,Institute of Medical Sciences,2018-19,13.802,35,,2018-19,1.0
736be13b-21db-4757-bfac-35c77c891892,"Anna University, Chennai",2018-19,47.937,108,,2018-19,0.95
18ae8c5a-a263-4906-9d6a-25bf48ed31e6,Aligarh Muslim University,2018-19,38.705,88,,2018-19,1.05
bd7fc63e-4dd7-488f-8022-1332b3642dcf,University of Calcutta,2018-19,11.22,8,,2018-19,0.95
ae9d1da9-8ea6-45ab-ab98-70e36ba8a21b,Academy of Scientific and Innovative Research,2018-19,869.741,1522,,2018-19,1.0
5aa5a4ff-8b68-4a33-87ae-4dce4f3d4a91,Amrita Vishwa Vidyapeetham,2018-19,24.86,144,,2018-19,1.0
1067ba73-ff68-46c5-b68e-4bf7cda57988,Lovely Professional University,2018-19,8.55,162,,2018-19,1.0
2050b90e-0227-468a-8571-63864a963f7c,Panjab University,2018-19,19.431,148,,2018-19,1.0
5bc14c1f-47f1-4ec9-89ba-e678e7ee486c,Savitribai Phule Pune University,2018-19,69.816,101,,2018-19,1.05
b539f583-d8d6-437c-9ae4-5807681767b9,Tata Institute of Fundamental Research,2018-19,49.824,498,,2018-19,1.0
fef15cf2-3c2a-4059-85a5-f9737b912a4c,Chandigarh University,2018-19,29.459,42,,2018-19,1.0
dc14b8e6-72b8-4c26-bec4-815435b7b8b7,Jawaharlal Nehru University,2018-19,34.345,337,,2018-19,1.0
b49755e6-20af-465e-9c60-82974ede833a,University of Hyderabad,2018-19,67.01,370,,2018-19,1.05
ead97a8a-02d7-4f7b-b0b3-0a56f78257cb,Annamalai University,2018-19,,0,,2018-19,1.0
f03f9fd4-2251-4e13-8c6c-5e3ca946f289,Christ University,2018-19,1.087,16,,2018-19,1.0
d5b58b79-7727-4cac-b9d6-1735e93b2968,Amity University,2018-19,15.77,143,,2018-19,1.0
ac8b1844-88b8-465a-9729-6f0ca11190f9,Chitkara University,2018-19,6.959,19,,2022-23,1.0
3ccdda45-076a-4fcb-af38-2f4b09aa8ccb,Homi Bhabha National Institute,2018-19,143.281,929,,2018-19,1.0
d031820e-53e0-49a4-b0c5-edb3a7724b8a,Graphic Era University,2018-19,10.58,7,,2018-19,1.0
0d8fc077-1885-4fe9-a175-49b042facab9,Indian Statistical Institute,2018-19,7.892,51,,2022-23,0.95
0d9eda01-0613-4077-b69a-93861219bf67,Jamia Millia Islamia,2018-19,30.073,121,,2018-19,1.0
620c0800-344d-45c2-8c05-b0876f7dac8f,"Christian Medical College, Vellore",2018-19,72.084,80,,2018-19,0.95
edf10c4c-ca24-4805-b33c-ddf5428d22ff,National Institute of Technology Rourkela,2018-19,16.054,176,,2018-19,1.05
6f6f6042-e2c5-451a-a92d-2bc27b8fa5e4,Malaviya National Institute of Technology Jaipur,2018-19,11.564,20,,2018-19,0.95
d93978d3-2c97-47c6-8d5a-b6472222104c,"Birla Institute of Technology and Science, Pilani",2018-19,6.5,76,,2018-19,1.0
80153acc-b176-42b7-b0f1-dd40b152084d,University of Madras,2018-19,32.717,153,,2018-19,1.0
5866f537-6318-4586-bf6d-4433c5b4bbf7,National Institute of Technology Tiruchirappalli,2018-19,34.062,36,,2018-19,1.0
529bfa45-38b5-4fa3-ad24-0cdc1a731124,Koneru Lakshmaiah Education Foundation,2018-19,7.37,85,,2018-19,0.95
e53966df-0e1d-4551-bffd-ab1bde3800e4,Symbiosis International University,2018-19,2.619,74,,2018-19,0.95
d8caf76d-8ea5-44f6-939d-e450309d2de1,"Kasturba Medical College, Manipal",2018-19,48.45,209,,2018-19,1.05
48e9b5fb-0b5b-42f0-a98b-cbc31d34b300,KIIT University,2018-19,69.173,131,,2018-19,0.95
4521b7d6-9c9f-41f9-8061-593ae0c361dc,Jain University,2018-19,3.246,25,,2018-19,0.95
04e4f2b0-9883-4fb8-9c64-cb5b49d6b361,Andhra University,2018-19,28.017,52,,2018-19,1.0
4dec3aaa-d6ae-4b77-ac09-50d7bdc68bb2,Sathyabama Institute of Science and Technology,2018-19,16.848,120,,2018-19,1.0
fb160d73-523e-4f2a-8052-11f55f43e268,Pondicherry University,2018-19,11.283,61,,2018-19,1.0
0975bc21-a976-44a9-a251-f0e626168e55,Osmania University,2018-19,57.613,131,,2018-19,1.0
2519526b-e995-469e-ae6f-8385feff245c,SRM University,2018-19,,,,,
1a4bb242-813a-46c1-8f5a-8782d5040d19,University of Mumbai,2018-19,0.06,1,,2022-23,0.95
90352157-ced6-4e2a-b6ef-515ed6cc5aac,Siksha O Anusandhan University,2018-19,4.855,79,,2018-19,0.95
f520daa7-29f5-4b11-b9a4-9b02860351ec,Delhi Technological University,2018-19,7.47,396,,2018-19,1.0
c7c580b5-a5eb-45ec-9dde-854ee5af23c0,Thapar Institute of Engineering & Technology,2018-19,9.104,74,,2018-19,1.0
52ef5836-d1be-4182-9b45-218b36478268,Institute of Chemical Technology,2018-19,29.48,200,,2018-19,1.0
1f4b5eaa-ddfb-448c-8805-4c0936e40f61,Guru Nanak Dev University,2018-19,9.481,61,,2018-19,1.0
c1a7591c-a5be-413d-bcfb-050692c5edef,Tamil Nadu Agricultural University,2018-19,90.911,490,,2022-23,1.0
74aaf314-5e8c-4cde-9333-83e97345070d,Bharathidasan University,2018-19,12.25,65,,2018-19,1.0
d653d230-8e4e-4388-b50b-790fea6d666f,National Institute of Technology Karnataka,2018-19,20.655,152,,2018-19,0.95
0d1ac996-32b9-43ac-8e4f-e44cb90c8c1c,Bharathiar University,2018-19,40.728,48,,2018-19,1.0
b45c2598-3515-4da1-9660-75a5ff4428fa,National Institute of Technology Warangal,2018-19,47.219,49,,2018-19,1.05
5f71086b-ce24-4741-89c7-c8583ab5948c,Dr. Hari Singh Gour University,2018-19,,,,,
d538b33b-7df6-426d-a326-e6336207fb5f,Sri Venkateswara University,2018-19,53.149,34,,2018-19,1.0
eee22ec4-aa39-45b3-95e0-7f6250924a00,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,2018-19,0.911,20,,2022-23,1.0
d2ab91c0-a50d-44ef-b03b-6fab30b3d767,King George's Medical University,2018-19,26.2,265,,2018-19,1.0
7693ea92-ef4b-486f-96c6-89db3749c43e,GITAM University,2018-19,,0,,2018-19,0.95
b20ed218-ebd3-4a6b-a2c8-9bef7907b934,Punjab Agricultural University,2018-19,127.313,480,,2022-23,1.0
104fe323-87bc-48e9-a752-22b34af999bb,University of Lucknow,2018-19,13.543,140,,2022-23,1.05
cb03a5e5-b2f5-4e95-af9f-a170aab03713,Indian Association for the Cultivation of Science,2018-19,,,,,
d601a25e-5d3b-4d71-aa65-699b49346b71,Bharati Vidyapeeth Deemed University,2018-19,7.291,85,,2018-19,1.0
b2d3eebd-0307-42ad-9f36-2a10b73de285,University of Allahabad,2018-19,,,,,
e1b3f8dc-6b5d-403e-ac6f-b1a3573c4021,University of Kalyani,2018-19,,,,,
ac895106-caa3-41c5-8959-084d58f9383c,University of Mysore,2018-19,14.895,83,,2018-19,0.95
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,All India Institute of Medical Sciences Bhopal,2018-19,14.12,144,,2022-23,1.05
d56d1ee4-862c-4274-8441-c2db9590627d,"G.S. Science, Arts And Commerce College",2018-19,,,,,
f7c6962b-4442-458c-90b7-eec41137a0d9,"Indian Institute of Engineering Science and Technology, Shibpur",2018-19,26.03,50,,2018-19,1.0
38518a3c-9425-41d0-8068-2e2332a46de1,All India Institute of Medical Sciences Raipur,2018-19,3.45,13,,2018-19,1.05
e952e5d1-7eb4-40a2-88a2-3dc7118e2255,Cochin University of Science and Technology,2018-19,13.19,137,,2018-19,1.0
8a91aa93-1bba-4381-a03c-d032be364f69,University of Petroleum and Energy Studies,2018-19,1.378,8,,2018-19,0.95
646437d3-b8bf-4df0-933f-437279dffc88,Jawaharlal Institute of Post Graduate Medical Education and Research,2018-19,3.884,1,,2018-19,1.0
a6628147-0d10-4564-bae9-b8be8be7cd21,Sardar Vallabhbhai National Institute of Technology Surat,2018-19,4.061,66,,2018-19,0.95
c9e12928-adad-470b-bcc3-a64f958bd34b,Central University of Rajasthan,2018-19,0.616,10,,2022-23,1.0
8f79bb14-2687-41a1-a556-23a0a56f5210,Presidency University,2018-19,,,,,
9657935b-6b9b-4504-9bec-eb245e65da0f,Government Medical College,2018-19,0.324,6,,2022-23,1.05
a216703f-5b10-44cb-8fe0-11f6ff1cd1bd,National Institute of Technology Durgapur,2018-19,13.149,88,,2018-19,1.05
5cb3587e-a197-4ece-8d45-9f364c87990f,Jamia Hamdard,2018-19,56.509,103,,2018-19,1.0
4aeb5e4d-7ee0-4ca2-a8ed-10cf13445ffc,GLA University,2018-19,,,,,
